job_id,industry_id
3378133231,68
3497509795,96
3690843087,47
3691775263,112
3691779379,80
3691786992,14
3691789797,96
3691792844,116
3691793575,13
3691794313,87
3691795305,139
3691795389,87
3691795980,96
3691796226,50
3691797249,40
3691797924,6
3691797973,15
3691797979,70
3691797980,51
3691797982,11
3691797982,104
3691798875,11
3691798875,106
3691798875,96
3691798879,139
3691799048,69
3691799449,112
3691799459,96
3691799471,25
3691799471,18
3691799472,68
3691799474,44
3692300220,57
3692300361,44
3692300372,43
3692300372,44
3692300409,116
3692300409,100
3692301009,91
3692301162,96
3692301162,14
3692301162,4
3692301165,27
3692301169,44
3692301169,10
3692301171,96
3692301171,8
3692302089,96
3692302091,44
3692303023,96
3692303024,14
3692303025,57
3696352735,14
3696352735,124
3696352735,42
3696355954,104
3696362362,34
3696368461,141
3696369309,141
3696371262,141
3696372105,141
3696373506,44
3696374362,99
3696374362,50
3696375254,139
3696386986,14
3696386986,124
3696386986,42
3696387979,14
3696387979,124
3696387979,42
3696387993,14
3696387993,124
3696387993,42
3696388859,14
3696388859,124
3696388859,42
3696388875,14
3696388875,124
3696388875,42
3696390474,14
3696390474,124
3696390474,42
3696391387,14
3696391387,124
3696391387,42
3696391398,14
3696391398,124
3696391398,42
3696391403,14
3696391403,124
3696391403,42
3696393067,14
3696393067,124
3696393067,42
3696394296,48
3696394452,104
3696394454,1
3696394454,112
3696394465,27
3696394465,138
3696394465,122
3696395003,14
3696395003,124
3696395003,42
3696396337,104
3696396357,43
3696396361,1
3696396361,112
3699944307,86
3699953637,14
3699959492,13
3699972728,124
3700100103,4
3700101731,34
3700106733,25
3700107001,34
3700111693,47
3700124761,104
3700138521,55
3700144594,143
3700144710,116
3700144710,6
3700147810,47
3700150295,84
3700150295,96
3700152513,9
3700152648,28
3700152648,31
3700152648,30
3700154162,14
3700154162,97
3700154162,113
3700155066,96
3700155066,4
3700155066,8
3634090513,4
3680144775,25
3690663520,100
3690664476,44
3690664657,76
3690664657,25
3690665137,44
3690668153,91
3690671407,13
3690673578,112
3690692186,27
3690699930,14
3690804650,15
3690809682,14
3690813856,31
3690819024,34
3690821627,128
3690821627,46
3690825634,25
3690828940,15
3690832043,117
3690834347,49
3690835135,43
3690835135,11
3690835135,6
3690835330,19
3690840013,34
3690841034,75
3690841406,96
3690841533,34
3690841599,112
3690844311,42
3690844811,54
3690844811,56
3690844811,135
3690844895,11
3690846882,53
3690847441,96
3690849528,99
3690849528,48
3690849528,59
3690849991,25
3690850853,49
3690850853,145
3690853209,133
3690857635,140
3690859113,124
3690859113,14
3690859360,11
3690860158,96
3690867240,57
3690868912,146
3690868934,12
3690869468,48
3690870151,44
3690870497,104
3690870668,146
3690870668,61
3690876465,31
3692338006,50
3692353287,126
3692361903,43
3692361903,27
3692361906,43
3692361906,27
3692361910,43
3692361910,27
3692361914,43
3692361914,27
3692361915,43
3692361915,27
3692362852,43
3692362852,27
3692362854,43
3692362854,27
3692362958,4
3692362958,33
3692362958,28
3692362963,96
3692363690,43
3692363690,27
3692363702,43
3692363702,27
3692363706,43
3692363706,27
3692363707,43
3692363707,27
3692363708,43
3692363708,27
3692363778,96
3692363920,122
3692364339,43
3692364339,27
3692364369,43
3692364369,27
3692364370,43
3692364370,27
3692364372,43
3692364372,27
3692364374,43
3692364374,27
3692364378,43
3692364378,27
3692364379,43
3692364379,27
3692364380,43
3692364380,27
3692364560,123
3692365234,43
3692365234,27
3692365236,43
3692365236,27
3692365238,43
3692365238,27
3692365242,43
3692365242,27
3692365243,43
3692365243,27
3692366202,43
3692366202,27
3692366207,43
3692366207,27
3692366208,43
3692366208,27
3692366209,43
3692366209,27
3692366211,43
3692366211,27
3692366212,43
3692366212,27
3692366214,43
3692366214,27
3692366220,43
3692366220,27
3692366441,135
3692366441,112
3692367174,43
3692367174,27
3692367178,43
3692367178,27
3692367179,43
3692367179,27
3692367180,43
3692367180,27
3692367370,53
3692368116,43
3692368116,27
3692368118,43
3692368118,27
3692368122,43
3692368122,27
3692368249,48
3692368330,100
3692369039,98
3692369084,96
3692369084,84
3692370024,96
3696987546,84
3696987546,6
3696987686,27
3696987698,27
3696987775,27
3696987938,27
3696988111,84
3696988111,6
3696988374,27
3696988456,27
3696988990,53
3696988990,135
3696988990,147
3696989463,27
3696989494,27
3696989579,27
3696990096,84
3696990096,6
3696990234,27
3696990251,27
3696990252,27
3696990450,27
3696990838,27
3696990961,96
3696990991,27
3696990992,27
3696990993,27
3696991158,104
3696992346,27
3696992442,27
3696992556,27
3696993074,27
3696993315,27
3696993316,27
3696993898,27
3696993899,27
3696994708,27
3696994715,27
3696994820,27
3696994822,27
3696994827,27
3696994828,27
3696994861,27
3696995298,27
3696995419,27
3696995462,27
3696995466,27
3696995467,27
3696995468,27
3696996123,27
3696997048,96
3696997068,27
3696997069,27
3696997071,27
3696997739,96
3696998251,70
3697105339,53
